date,startup_name,industry,city,investment_type,amount_usd,period
2015-04-04,KeepTrax,Others,Hyderabad,Seed,1000000.0,Pre-COVID
2015-04-06,InstaLively,Media,Delhi,Seed,120000.0,Pre-COVID
2015-04-07,LogiNext,Logistics,Mumbai,Seed,,Pre-COVID
2015-04-07,Pricejugaad,Others,Hyderabad,Seed,165000.0,Pre-COVID
2015-04-07,Quikr,Others,Mumbai,Private Equity,150000000.0,Pre-COVID
2015-04-07,PressPlay,Mobility,Delhi,Seed,2200000.0,Pre-COVID
2015-04-08,FirstCry.com,E-commerce,Pune,Private Equity,10000000.0,Pre-COVID
2015-04-08,MobiKwik,FinTech,Gurugram,Private Equity,25000000.0,Pre-COVID
2015-04-08,Olacabs,Mobility,Bengaluru,Private Equity,400000000.0,Pre-COVID
2015-04-09,Gadgetwood,Others,Delhi,Seed,200000.0,Pre-COVID
2015-04-09,Bonhomia,FoodTech,Delhi,Seed,2000000.0,Pre-COVID
2015-04-09,Changer Mints,FinTech,Kolkata,Seed,165000.0,Pre-COVID
2015-04-09,Urban Ladder,E-commerce,Bengaluru,Private Equity,50000000.0,Pre-COVID
2015-04-09,Purple Squirrel,SaaS,Mumbai,Private Equity,,Pre-COVID
2015-04-10,Whatfix,Others,Bengaluru,Seed,900000.0,Pre-COVID
2015-04-10,iMMi Life,HealthTech,Chennai,Seed,,Pre-COVID
2015-04-11,Zomato,FoodTech,Gurugram,Private Equity,25000000.0,Pre-COVID
2015-04-13,Capricoast,FoodTech,Bengaluru,Seed,1250000.0,Pre-COVID
2015-04-13,The Porter,Logistics,Mumbai,Seed,500000.0,Pre-COVID
2015-04-13,Commeasure,Mobility,Noida,Seed,1000000.0,Pre-COVID
2015-04-13,ZopNow,Others,Bengaluru,Private Equity,10000000.0,Pre-COVID
2015-04-13,Nayi Disha,SaaS,Delhi,Seed,300000.0,Pre-COVID
2015-04-14,LocalOye,Others,Mumbai,Private Equity,5000000.0,Pre-COVID
2015-04-15,Grofers,FoodTech,Gurugram,Private Equity,35000000.0,Pre-COVID
2015-04-15,PolicyBazaar,Others,Gurugram,Private Equity,40000000.0,Pre-COVID
2015-04-15,PepperTap,FoodTech,Gurugram,Private Equity,10000000.0,Pre-COVID
2015-04-16,Taskbob,Others,Mumbai,Seed,1200000.0,Pre-COVID
2015-04-16,UrbanClap,E-commerce,Delhi,Seed,1600000.0,Pre-COVID
2015-04-17,Robosoft,Others,Udupi,Private Equity,12000000.0,Pre-COVID
2015-04-18,Doormint,Others,Mumbai,Seed,,Pre-COVID
2015-04-20,Sulekha.com,Others,Chennai,Private Equity,28000000.0,Pre-COVID
2015-04-20,Freshdesk,Others,Chennai,Private Equity,50000000.0,Pre-COVID
2015-04-20,1mg (Healthkartplus),HealthTech,Gurugram,Private Equity,6000000.0,Pre-COVID
2015-04-20,Vyomo,HealthTech,Gurugram,Seed,,Pre-COVID
2015-04-20,Pastiwala,Others,Vadodara,Private Equity,4000000.0,Pre-COVID
2015-04-22,Eat.Shop.Love,E-commerce,Bengaluru,Private Equity,3500000.0,Pre-COVID
2015-04-22,FindYahan,E-commerce,Delhi,Private Equity,,Pre-COVID
2015-04-22,Avanti Learning,Others,Delhi,Private Equity,1500000.0,Pre-COVID
2015-04-23,EazyDiner,FoodTech,Delhi,Seed,,Pre-COVID
2015-04-23,Craftstvilla,E-commerce,Mumbai,Private Equity,18000000.0,Pre-COVID
2015-04-23,HeadOut,E-commerce,Bengaluru,Seed,1800000.0,Pre-COVID
2015-04-23,happay,Others,Bengaluru,Seed,500000.0,Pre-COVID
2015-04-23,Jugnoo,Logistics,Chandigarh,Seed,1000000.0,Pre-COVID
2015-04-23,Phone Warrior,Others,Delhi,Seed,,Pre-COVID
2015-04-23,Simplilearn,EdTech,Bengaluru,Private Equity,15000000.0,Pre-COVID
2015-04-24,Coverfox,FinTech,Mumbai,Private Equity,12000000.0,Pre-COVID
2015-04-27,GIBBS,Cleantech,Delhi,Private Equity,,Pre-COVID
2015-04-27,LogicRoots,EdTech,Jaipur,Seed,400000.0,Pre-COVID
2015-04-27,Grab,FoodTech,Mumbai,Seed,1000000.0,Pre-COVID
2015-04-27,Torqus,FoodTech,Pune,Seed,350000.0,Pre-COVID
2015-04-28,Babajobs,Others,Bengaluru,Private Equity,10000000.0,Pre-COVID
2015-04-28,Urban Ladder,E-commerce,Bengaluru,Private Equity,,Pre-COVID
